,external_id,name,is_string,is_step,description,metadata
23,OPAT812:planned_status,OPAT812 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
24,OPFCF331:count,OPFCF331 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
25,OPFCF331:good,OPFCF331 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
26,OPFCF331:status,OPFCF331 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
27,OPFCF331:planned_status,OPFCF331 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
28,OPFD232:count,OPFD232 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
29,OPFD232:good,OPFD232 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
30,OPFD232:status,OPFD232 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
31,OPFD232:planned_status,OPFD232 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
32,OPFCD474:count,OPFCD474 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
33,OPFCD474:good,OPFCD474 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
34,OPFCD474:status,OPFCD474 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
35,OPFCD474:planned_status,OPFCD474 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
36,OPFSD585:count,OPFSD585 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
37,OPFSD585:good,OPFSD585 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
38,OPFSD585:status,OPFSD585 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
39,OPFSD585:planned_status,OPFSD585 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
40,OPFCS463:count,OPFCS463 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
41,OPFCS463:good,OPFCS463 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
42,OPFCS463:status,OPFCS463 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
43,OPFCS463:planned_status,OPFCS463 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
44,OPFFV485:count,OPFFV485 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
45,OPFFV485:good,OPFFV485 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
46,OPFFV485:status,OPFFV485 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
47,OPFFV485:planned_status,OPFFV485 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
48,OPFWT265:count,OPFWT265 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
49,OPFWT265:good,OPFWT265 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
50,OPFWT265:status,OPFWT265 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
51,OPFWT265:planned_status,OPFWT265 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
52,OPFDT109:count,OPFDT109 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
53,OPFDT109:good,OPFDT109 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
54,OPFDT109:status,OPFDT109 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
55,OPFDT109:planned_status,OPFDT109 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
56,OPFLD988:count,OPFLD988 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
57,OPFLD988:good,OPFLD988 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
58,OPFLD988:status,OPFLD988 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
59,OPFLD988:planned_status,OPFLD988 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
60,OPFC370:count,OPFC370 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
61,OPFC370:good,OPFC370 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
62,OPFC370:status,OPFC370 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
63,OPFC370:planned_status,OPFC370 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
64,OPFC534:count,OPFC534 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
65,OPFC534:good,OPFC534 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
66,OPFC534:status,OPFC534 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
67,OPFC534:planned_status,OPFC534 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
68,OPFTS185:count,OPFTS185 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
69,OPFTS185:good,OPFTS185 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
70,OPFTS185:status,OPFTS185 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
71,OPFTS185:planned_status,OPFTS185 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
72,OPFW693:count,OPFW693 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
73,OPFW693:good,OPFW693 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
74,OPFW693:status,OPFW693 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
75,OPFW693:planned_status,OPFW693 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
76,OPFC927:count,OPFC927 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
77,OPFC927:good,OPFC927 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
78,OPFC927:status,OPFC927 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
79,OPFC927:planned_status,OPFC927 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
80,OTTE981:count,OTTE981 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
81,OTTE981:good,OTTE981 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
82,OTTE981:status,OTTE981 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
83,OTTE981:planned_status,OTTE981 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
84,OPEHT947:count,OPEHT947 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
85,OPEHT947:good,OPEHT947 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
86,OPEHT947:status,OPEHT947 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
87,OPEHT947:planned_status,OPEHT947 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
88,OPEW729:count,OPEW729 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
89,OPEW729:good,OPEW729 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
90,OPEW729:status,OPEW729 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
91,OPEW729:planned_status,OPEW729 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
92,OPEC386:count,OPEC386 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
93,OPEC386:good,OPEC386 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
94,OPEC386:status,OPEC386 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
95,OPEC386:planned_status,OPEC386 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
96,OPMVF765:count,OPMVF765 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
97,OPMVF765:good,OPMVF765 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
98,OPMVF765:status,OPMVF765 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
99,OPMVF765:planned_status,OPMVF765 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
100,OPMSI664:count,OPMSI664 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
101,OPMSI664:good,OPMSI664 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
102,OPMSI664:status,OPMSI664 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
103,OPMSI664:planned_status,OPMSI664 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
104,OPMBT115:count,OPMBT115 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
105,OPMBT115:good,OPMBT115 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
106,OPMBT115:status,OPMBT115 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
107,OPMBT115:planned_status,OPMBT115 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
108,OPMBFS561:count,OPMBFS561 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
109,OPMBFS561:good,OPMBFS561 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
110,OPMBFS561:status,OPMBFS561 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
111,OPMBFS561:planned_status,OPMBFS561 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
112,OPMDS552:count,OPMDS552 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
113,OPMDS552:good,OPMDS552 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
114,OPMDS552:status,OPMDS552 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
115,OPMDS552:planned_status,OPMDS552 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
116,OPME012:count,OPME012 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
117,OPME012:good,OPME012 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
118,OPME012:status,OPME012 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
119,OPME012:planned_status,OPME012 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
120,OPMC079:count,OPMC079 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
121,OPMC079:good,OPMC079 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
122,OPMC079:status,OPMC079 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
123,OPMC079:planned_status,OPMC079 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
124,OPMD584:count,OPMD584 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
125,OPMD584:good,OPMD584 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
126,OPMD584:status,OPMD584 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
127,OPMD584:planned_status,OPMD584 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
128,OPMW541:count,OPMW541 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
129,OPMW541:good,OPMW541 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
130,OPMW541:status,OPMW541 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
131,OPMW541:planned_status,OPMW541 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
132,OPMC561:count,OPMC561 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Oslo', 'src': 'opcua', 'cycle_time': 3.0}"
133,OPMC561:good,OPMC561 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Oslo', 'src': 'opcua'}"
134,OPMC561:status,OPMC561 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Oslo', 'src': 'opcua'}"
135,OPMC561:planned_status,OPMC561 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Oslo', 'src': 'opcua'}"
136,NPRM137:count,NPRM137 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Nuremberg', 'src': 'opcua', 'cycle_time': 3.0}"
137,NPRM137:good,NPRM137 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Nuremberg', 'src': 'opcua'}"
138,NPRM137:status,NPRM137 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Nuremberg', 'src': 'opcua'}"
139,NPRM137:planned_status,NPRM137 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Nuremberg', 'src': 'opcua'}"
140,NPFG978:count,NPFG978 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Nuremberg', 'src': 'opcua', 'cycle_time': 3.0}"
141,NPFG978:good,NPFG978 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Nuremberg', 'src': 'opcua'}"
142,NPFG978:status,NPFG978 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Nuremberg', 'src': 'opcua'}"
143,NPFG978:planned_status,NPFG978 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Nuremberg', 'src': 'opcua'}"
144,NPMAT243:count,NPMAT243 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Nuremberg', 'src': 'opcua', 'cycle_time': 3.0}"
145,NPMAT243:good,NPMAT243 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Nuremberg', 'src': 'opcua'}"
146,NPMAT243:status,NPMAT243 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Nuremberg', 'src': 'opcua'}"
147,NPMAT243:planned_status,NPMAT243 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Nuremberg', 'src': 'opcua'}"
148,NPMDT243:count,NPMDT243 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Nuremberg', 'src': 'opcua', 'cycle_time': 3.0}"
149,NPMDT243:good,NPMDT243 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Nuremberg', 'src': 'opcua'}"
150,NPMDT243:status,NPMDT243 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Nuremberg', 'src': 'opcua'}"
151,NPMDT243:planned_status,NPMDT243 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Nuremberg', 'src': 'opcua'}"
152,NPMZT243:count,NPMZT243 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Nuremberg', 'src': 'opcua', 'cycle_time': 3.0}"
153,NPMZT243:good,NPMZT243 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Nuremberg', 'src': 'opcua'}"
154,NPMZT243:status,NPMZT243 Status,False,True,A datapoint is written when the unit is turned on (1) or off (0).,"{'type': 'status', 'site': 'Nuremberg', 'src': 'opcua'}"
155,NPMZT243:planned_status,NPMZT243 Planned Status,False,True,A datapoint is written when the unit is planned to be turned on (1) or off (0).,"{'type': 'planned_status', 'site': 'Nuremberg', 'src': 'opcua'}"
156,NPPAT241:count,NPPAT241 Count,False,False,A datapoint (1) is written every time a widget is created.,"{'type': 'count', 'site': 'Nuremberg', 'src': 'opcua', 'cycle_time': 3.0}"
157,NPPAT241:good,NPPAT241 Good,False,False,A binary (1/0) value indicating whether the widiget created is good (1) or bad (0).,"{'type': 'good', 'site': 'Nuremberg', 'src': 'opcua'}"
